account_code,account_name,currency,gl_balance,period,entity,subledger_balance,fx_rate,gl_balance_usd,subledger_balance_usd,variance_usd,exception_type
1001,Cash and Cash Equivalents,GBP,3026156.6,2026-04,EMEA-GBP,3057356.6,1.27,3843218.882,3882842.882,-39624.0,FX_DISCREPANCY
2200,Deferred Revenue,USD,221858.89,2026-04,AMER,236858.89,1.0,221858.89,236858.89,-15000.0,GL_MISMATCH
4003,Revenue - Licensing,EUR,1664199.19,2026-04,EMEA-EUR,1636399.19,1.08,1797335.1252000001,1767311.1252000001,30024.0,FX_DISCREPANCY
6003,Marketing Expenses,GBP,198876.98,2026-04,EMEA-GBP,213626.98,1.27,252573.76460000002,271306.2646,-18732.49999999997,FX_DISCREPANCY
6003,Marketing Expenses,USD,101414.3,2026-04,AMER,78014.3,1.0,101414.3,78014.3,23400.0,GL_MISMATCH
6007,Depreciation Expense,EUR,50428.92,2026-04,EMEA-EUR,0.0,1.08,54463.2336,0.0,54463.2336,FX_DISCREPANCY
6007,Depreciation Expense,USD,122537.28,2026-04,AMER,167737.28,1.0,122537.28,167737.28,-45200.0,GL_MISMATCH
6008,Research and Development,EUR,1767146.01,2026-04,EMEA-EUR,1786746.01,1.08,1908517.6908000002,1929685.6908000002,-21168.0,FX_DISCREPANCY
6008,Research and Development,USD,1267557.92,2026-04,AMER,1279057.92,1.0,1267557.92,1279057.92,-11500.0,GL_MISMATCH
7001,Interest Expense,USD,32453.95,2026-04,AMER,0.0,1.0,32453.95,0.0,32453.95,GL_MISMATCH
