account_code,account_name,currency,gl_balance,period,entity,subledger_balance,fx_rate,gl_balance_usd,subledger_balance_usd,variance_usd,exception_type
1001,Cash and Cash Equivalents,USD,3670573.26,2026-04,AMER,3669057.28,1.0,3670573.26,3669057.28,1515.9799999999814,MATCHED
1100,Accounts Receivable,EUR,3730574.74,2026-04,EMEA-EUR,3730369.19,1.08,4029020.7192000006,4028798.7252,221.9940000004135,MATCHED
1200,Prepaid Expenses,GBP,69190.6,2026-04,EMEA-GBP,69247.22,1.27,87872.062,87943.9694,-71.90739999999641,MATCHED
1200,Prepaid Expenses,USD,29150.07,2026-04,AMER,29365.76,1.0,29150.07,29365.76,-215.6899999999987,MATCHED
1300,Inventory,GBP,308333.35,2026-04,EMEA-GBP,308969.28,1.27,391583.35449999996,392390.9856,-807.6311000000569,MATCHED
1300,Inventory,USD,1307800.44,2026-04,AMER,1306035.94,1.0,1307800.44,1306035.94,1764.5,MATCHED
1400,Short-term Investments,USD,401671.92,2026-04,AMER,399797.57,1.0,401671.92,399797.57,1874.3499999999767,MATCHED
1500,Fixed Assets - Gross,EUR,2931170.43,2026-04,EMEA-EUR,2930165.06,1.08,3165664.0644000005,3164578.2648000005,1085.7996000000276,MATCHED
1500,Fixed Assets - Gross,USD,3051878.87,2026-04,AMER,3053790.81,1.0,3051878.87,3053790.81,-1911.9399999999441,MATCHED
1501,Accumulated Depreciation,EUR,254534.88,2026-04,EMEA-EUR,253295.72,1.08,274897.6704,273559.3776,1338.2927999999956,MATCHED
1501,Accumulated Depreciation,GBP,1382047.91,2026-04,EMEA-GBP,1383503.26,1.27,1755200.8457,1757049.1402,-1848.2945000000764,MATCHED
1501,Accumulated Depreciation,USD,2612779.32,2026-04,AMER,2612531.72,1.0,2612779.32,2612531.72,247.59999999962747,MATCHED
1700,Goodwill,USD,8464641.98,2026-04,AMER,8465328.73,1.0,8464641.98,8465328.73,-686.75,MATCHED
1800,Intangible Assets,GBP,189521.11,2026-04,EMEA-GBP,187898.41,1.27,240691.80969999998,238630.98070000001,2060.828999999969,MATCHED
1800,Intangible Assets,USD,1148877.2,2026-04,AMER,1148473.17,1.0,1148877.2,1148473.17,404.03000000002794,MATCHED
2001,Accounts Payable,USD,1870619.19,2026-04,AMER,1871045.57,1.0,1870619.19,1871045.57,-426.3800000001211,MATCHED
2100,Accrued Liabilities,GBP,432144.72,2026-04,EMEA-GBP,432036.61,1.27,548823.7944,548686.4947,137.2996999999741,MATCHED
2100,Accrued Liabilities,USD,597298.84,2026-04,AMER,599014.49,1.0,597298.84,599014.49,-1715.6500000000233,MATCHED
2200,Deferred Revenue,EUR,473817.09,2026-04,EMEA-EUR,472059.54,1.08,511722.45720000006,509824.3032,1898.1540000000386,MATCHED
2300,Long-term Debt,GBP,2996045.28,2026-04,EMEA-GBP,2996721.19,1.27,3804977.5056,3805835.9113,-858.405700000003,MATCHED
2300,Long-term Debt,USD,2665033.62,2026-04,AMER,2663289.72,1.0,2665033.62,2663289.72,1743.8999999999069,MATCHED
2400,Intercompany Payables,USD,1461017.86,2026-04,AMER,1461777.33,1.0,1461017.86,1461777.33,-759.4699999999721,MATCHED
2500,Income Tax Payable,EUR,274569.76,2026-04,EMEA-EUR,275482.61,1.08,296535.3408,297521.21880000003,-985.8780000000261,MATCHED
2500,Income Tax Payable,GBP,211712.24,2026-04,EMEA-GBP,213454.3,1.27,268874.5448,271086.961,-2212.416200000036,MATCHED
2500,Income Tax Payable,USD,426797.3,2026-04,AMER,426908.0,1.0,426797.3,426908.0,-110.70000000001164,MATCHED
3001,Retained Earnings,GBP,9597967.6,2026-04,EMEA-GBP,9597384.79,1.27,12189418.852,12188678.6833,740.1687000002712,MATCHED
3001,Retained Earnings,USD,12203359.96,2026-04,AMER,12205217.41,1.0,12203359.96,12205217.41,-1857.449999999255,MATCHED
4001,Revenue - Product,EUR,15487705.2,2026-04,EMEA-EUR,15485921.88,1.08,16726721.616,16724795.630400002,1925.9855999983847,MATCHED
4001,Revenue - Product,USD,6498371.31,2026-04,AMER,6496455.45,1.0,6498371.31,6496455.45,1915.859999999404,MATCHED
4002,Revenue - Services,USD,1666096.25,2026-04,AMER,1666227.07,1.0,1666096.25,1666227.07,-130.8200000000652,MATCHED
4003,Revenue - Licensing,USD,2875917.91,2026-04,AMER,2874420.95,1.0,2875917.91,2874420.95,1496.9599999999627,MATCHED
5001,Cost of Goods Sold,GBP,9976607.26,2026-04,EMEA-GBP,9975579.25,1.27,12670291.2202,12668985.6475,1305.5726999994367,MATCHED
5001,Cost of Goods Sold,USD,3140749.23,2026-04,AMER,3141580.59,1.0,3140749.23,3141580.59,-831.3599999998696,MATCHED
6001,Salaries and Wages,USD,3013555.08,2026-04,AMER,3013625.38,1.0,3013555.08,3013625.38,-70.29999999981374,MATCHED
6002,Rent and Facilities,USD,214174.48,2026-04,AMER,212444.08,1.0,214174.48,212444.08,1730.4000000000233,MATCHED
6004,IT and Infrastructure,GBP,367368.15,2026-04,EMEA-GBP,366225.1,1.27,466557.5505,465105.877,1451.6735000000335,MATCHED
6004,IT and Infrastructure,USD,251979.25,2026-04,AMER,252831.05,1.0,251979.25,252831.05,-851.7999999999884,MATCHED
6005,Professional Fees,GBP,271390.41,2026-04,EMEA-GBP,269919.66,1.27,344665.8207,342797.96819999994,1867.8525000000373,MATCHED
6005,Professional Fees,USD,170143.87,2026-04,AMER,171164.93,1.0,170143.87,171164.93,-1021.0599999999977,MATCHED
