account_code,account_name,currency,gl_balance,period,entity
1500,Fixed Assets - Gross,USD,3051878.87,2026-04,AMER
4002,Revenue - Services,USD,1666096.25,2026-04,AMER
4003,Revenue - Licensing,USD,2875917.91,2026-04,AMER
2200,Deferred Revenue,USD,221858.89,2026-04,AMER
6003,Marketing Expenses,USD,101414.3,2026-04,AMER
6007,Depreciation Expense,USD,122537.28,2026-04,AMER
2500,Income Tax Payable,USD,426797.3,2026-04,AMER
2001,Accounts Payable,USD,1870619.19,2026-04,AMER
3001,Retained Earnings,USD,12203359.96,2026-04,AMER
2100,Accrued Liabilities,USD,597298.84,2026-04,AMER
6005,Professional Fees,USD,170143.87,2026-04,AMER
2400,Intercompany Payables,USD,1461017.86,2026-04,AMER
6004,IT and Infrastructure,USD,251979.25,2026-04,AMER
1800,Intangible Assets,USD,1148877.2,2026-04,AMER
1700,Goodwill,USD,8464641.98,2026-04,AMER
6008,Research and Development,USD,1267557.92,2026-04,AMER
1501,Accumulated Depreciation,USD,2612779.32,2026-04,AMER
6001,Salaries and Wages,USD,3013555.08,2026-04,AMER
1001,Cash and Cash Equivalents,USD,3670573.26,2026-04,AMER
7001,Interest Expense,USD,32453.95,2026-04,AMER
2300,Long-term Debt,USD,2665033.62,2026-04,AMER
4001,Revenue - Product,USD,6498371.31,2026-04,AMER
1200,Prepaid Expenses,USD,29150.07,2026-04,AMER
6010,Utilities,USD,22459.32,2026-04,AMER
6006,Travel and Entertainment,USD,24140.2,2026-04,AMER
5001,Cost of Goods Sold,USD,3140749.23,2026-04,AMER
1300,Inventory,USD,1307800.44,2026-04,AMER
6002,Rent and Facilities,USD,214174.48,2026-04,AMER
1400,Short-term Investments,USD,401671.92,2026-04,AMER
6009,Insurance Premiums,USD,24903.17,2026-04,AMER
1200,Prepaid Expenses,GBP,69190.6,2026-04,EMEA-GBP
1001,Cash and Cash Equivalents,GBP,3026156.6,2026-04,EMEA-GBP
2300,Long-term Debt,GBP,2996045.28,2026-04,EMEA-GBP
6004,IT and Infrastructure,GBP,367368.15,2026-04,EMEA-GBP
6005,Professional Fees,GBP,271390.41,2026-04,EMEA-GBP
2500,Income Tax Payable,GBP,211712.24,2026-04,EMEA-GBP
6003,Marketing Expenses,GBP,198876.98,2026-04,EMEA-GBP
5001,Cost of Goods Sold,GBP,9976607.26,2026-04,EMEA-GBP
2100,Accrued Liabilities,GBP,432144.72,2026-04,EMEA-GBP
6006,Travel and Entertainment,GBP,22727.32,2026-04,EMEA-GBP
1800,Intangible Assets,GBP,189521.11,2026-04,EMEA-GBP
1300,Inventory,GBP,308333.35,2026-04,EMEA-GBP
3001,Retained Earnings,GBP,9597967.6,2026-04,EMEA-GBP
7001,Interest Expense,GBP,398118.89,2026-04,EMEA-GBP
1501,Accumulated Depreciation,GBP,1382047.91,2026-04,EMEA-GBP
4001,Revenue - Product,EUR,15487705.2,2026-04,EMEA-EUR
4003,Revenue - Licensing,EUR,1664199.19,2026-04,EMEA-EUR
2200,Deferred Revenue,EUR,473817.09,2026-04,EMEA-EUR
2500,Income Tax Payable,EUR,274569.76,2026-04,EMEA-EUR
6007,Depreciation Expense,EUR,50428.92,2026-04,EMEA-EUR
1500,Fixed Assets - Gross,EUR,2931170.43,2026-04,EMEA-EUR
1501,Accumulated Depreciation,EUR,254534.88,2026-04,EMEA-EUR
1100,Accounts Receivable,EUR,3730574.74,2026-04,EMEA-EUR
6008,Research and Development,EUR,1767146.01,2026-04,EMEA-EUR
6009,Insurance Premiums,EUR,84008.23,2026-04,EMEA-EUR
